h,degree,kappa,method,pc_type,preonly,FMM Order,ndofs,L^2 Relative Error,H^1 Relative Error,Iteration Number,Residual Norm,Converged Reason,ksp_rtol,ksp_atol
0.5,1,0.1,pml,lu,False,,204,0.3831607310530262,0.37367651316426287,2,1.3374858278352625e-15,CONVERGED_RTOL,1e-14,1e-50
0.5,1,0.1,transmission,lu,False,,204,0.7582054362017483,0.7334078362249516,1,7.949381778914331e-15,CONVERGED_RTOL,1e-14,1e-50
0.5,1,0.1,nonlocal_integral_eq,lu,False,49,204,0.12570018869785615,0.1221090606479723,7,2.0882670096736428e-15,CONVERGED_RTOL,1e-14,1e-50
0.5,1,0.5,pml,lu,False,,204,0.05768114625120839,0.05427223048101702,1,7.52417044874328e-15,CONVERGED_RTOL,1e-14,1e-50
0.5,1,0.5,transmission,lu,False,,204,0.1974765936794259,0.17045737014720302,1,2.3006072426510095e-15,CONVERGED_RTOL,1e-14,1e-50
0.5,1,0.5,nonlocal_integral_eq,lu,False,49,204,0.05270074679413349,0.050261069735826225,7,2.0656694018347623e-15,CONVERGED_RTOL,1e-14,1e-50
0.25,1,0.1,pml,lu,False,,731,0.21818815369769357,0.21803794945971353,1,4.990456353857438e-14,CONVERGED_RTOL,1e-14,1e-50
0.25,1,0.1,transmission,lu,False,,731,0.774457343658288,0.7489201636860564,1,2.83520762306822e-14,CONVERGED_RTOL,1e-14,1e-50
0.25,1,0.1,nonlocal_integral_eq,lu,False,49,731,0.07991809812649549,0.07735249394242939,7,3.6468426148399884e-16,CONVERGED_RTOL,1e-14,1e-50
0.25,1,0.5,pml,lu,False,,731,0.027897892634403634,0.025783004452400414,1,1.638592077388167e-14,CONVERGED_RTOL,1e-14,1e-50
0.25,1,0.5,transmission,lu,False,,731,0.18144947938030825,0.15581748090843706,1,1.1076751900696815e-14,CONVERGED_RTOL,1e-14,1e-50
0.25,1,0.5,nonlocal_integral_eq,lu,False,49,731,0.022333964109695802,0.0202434592489003,7,2.668622399143241e-15,CONVERGED_RTOL,1e-14,1e-50
0.125,1,0.1,pml,lu,False,,2930,0.07556508506003926,0.08043160493445399,2,2.7082824505377166e-14,CONVERGED_RTOL,1e-14,1e-50
0.125,1,0.1,transmission,lu,False,,2930,0.7786820552853072,0.7529582172831504,1,1.147972014363381e-13,CONVERGED_RTOL,1e-14,1e-50
0.125,1,0.1,nonlocal_integral_eq,lu,False,49,2930,0.04452589500459985,0.04307102231398299,6,7.941116052194504e-14,CONVERGED_RTOL,1e-14,1e-50
0.125,1,0.5,pml,lu,False,,2930,0.0067073437197944855,0.0062766081884519905,1,7.340388618249594e-14,CONVERGED_RTOL,1e-14,1e-50
0.125,1,0.5,transmission,lu,False,,2930,0.17766476365267864,0.15253565729699706,1,4.076432661851688e-14,CONVERGED_RTOL,1e-14,1e-50
0.125,1,0.5,nonlocal_integral_eq,lu,False,49,2930,0.010258899924518653,0.009130177410207073,7,1.0703030304264423e-14,CONVERGED_RTOL,1e-14,1e-50
0.25,1,1.0,pml,lu,False,,731,0.014677689467497998,0.021758057013214906,1,1.346658120515688e-14,CONVERGED_RTOL,1e-14,1e-50
0.25,1,1.0,transmission,lu,False,,731,0.05739752036885462,0.05083014336658688,1,6.4999226616155016e-15,CONVERGED_RTOL,1e-14,1e-50
0.25,1,1.0,nonlocal_integral_eq,lu,False,49,731,0.007510443596876793,0.012542581802278184,7,1.8483847826867464e-15,CONVERGED_RTOL,1e-14,1e-50
0.125,1,1.0,pml,lu,False,,2930,0.005036862351118555,0.0069548805119439535,1,3.291466140334315e-14,CONVERGED_RTOL,1e-14,1e-50
0.125,1,1.0,transmission,lu,False,,2930,0.06256062642609644,0.05338086164183785,1,7.153045134679583e-14,CONVERGED_RTOL,1e-14,1e-50
0.125,1,1.0,nonlocal_integral_eq,lu,False,49,2930,0.0030233138980280605,0.005176658822533706,7,1.4010198526741152e-14,CONVERGED_RTOL,1e-14,1e-50
0.125,1,2.0,pml,lu,False,,2930,0.011834882321421821,0.017420145525084568,1,1.9123290443743393e-14,CONVERGED_RTOL,1e-14,1e-50
0.125,1,2.0,transmission,lu,False,,2930,0.04586051243081588,0.04712958580535039,1,2.1974675472420625e-14,CONVERGED_RTOL,1e-14,1e-50
0.125,1,2.0,nonlocal_integral_eq,lu,False,49,2930,0.006768041004195244,0.012518552496240119,7,5.439155580712865e-15,CONVERGED_RTOL,1e-14,1e-50
0.0625,1,0.1,pml,lu,False,,11292,0.016420342811360903,0.021277316043995357,2,1.1807891123609687e-14,CONVERGED_RTOL,1e-14,1e-50
0.0625,1,0.1,transmission,lu,False,,11292,0.779800803881857,0.7540260377276944,2,2.090399883141121e-13,CONVERGED_RTOL,1e-14,1e-50
0.0625,1,0.1,nonlocal_integral_eq,lu,False,49,11292,0.024083839969543185,0.023293055913418112,6,1.9861203700656366e-13,CONVERGED_RTOL,1e-14,1e-50
0.0625,1,0.5,pml,lu,False,,11292,0.0017636425403199916,0.0018568555044533954,2,2.7131464155838394e-14,CONVERGED_RTOL,1e-14,1e-50
0.0625,1,0.5,transmission,lu,False,,11292,0.17664497592659564,0.1516649933216047,2,2.8714099966803103e-17,CONVERGED_RTOL,1e-14,1e-50
