h,degree,kappa,method,pc_type,FMM Order,ndofs,L^2 Relative Error,H^1 Relative Error,Iteration Number,gamma,beta,ksp_type,Residual Norm,Converged Reason,ksp_rtol,ksp_atol,Min Extreme Singular Value,Max Extreme Singular Value
0.5,1,1.0,nonlocal_integral_eq,lu,22,65,0.06089134351568162,0.06190052595782919,8,,,gmres,5.6942274309607e-14,CONVERGED_RTOL,1e-12,1e-50,0.9080606259383961,1.0164956185883027
0.25,1,1.0,nonlocal_integral_eq,lu,22,240,0.026834613713699385,0.02581226723537781,8,,,gmres,3.6873163453739813e-13,CONVERGED_RTOL,1e-12,1e-50,0.9118109859501529,1.0410954914923136
0.125,1,1.0,nonlocal_integral_eq,lu,22,901,0.012415679109832954,0.011114449873268172,8,,,gmres,1.0789112848119996e-13,CONVERGED_RTOL,1e-12,1e-50,0.9143702757964527,1.0616852877201843
0.0625,1,1.0,nonlocal_integral_eq,lu,22,3391,0.005894693912978237,0.005096945323793322,8,,,gmres,2.1464401526083997e-13,CONVERGED_RTOL,1e-12,1e-50,0.9116359362006986,1.0716436173953756
0.03125,1,1.0,nonlocal_integral_eq,lu,22,13084,0.003062084517682226,0.002601648463754526,7,,,gmres,1.5677867988260482e-12,CONVERGED_RTOL,1e-12,1e-50,0.9054962152987541,1.0789412315588682
0.5,1,1.0,nonlocal_integral_eq,lu,32,165,0.04556660168686834,0.049503405293775074,7,,,gmres,5.4692056241128217e-14,CONVERGED_RTOL,1e-12,1e-50,0.9368801033725482,1.0435986324784259
0.25,1,1.0,nonlocal_integral_eq,lu,32,590,0.01773921448541888,0.019572560982930882,5,,,gmres,1.4726015229463037e-12,CONVERGED_RTOL,1e-12,1e-50,0.9271252919892982,1.0107768921449751
0.125,1,1.0,nonlocal_integral_eq,lu,32,2263,0.0079390765907586,0.008697575049867824,7,,,gmres,1.2483415105002436e-13,CONVERGED_RTOL,1e-12,1e-50,0.9226538366365267,1.0358050064387465
0.0625,1,1.0,nonlocal_integral_eq,lu,32,8741,0.003874042538984877,0.004303196557101119,6,,,gmres,1.6974108299985258e-12,CONVERGED_RTOL,1e-12,1e-50,0.9204165686416554,1.0342652393133969
0.03125,1,1.0,nonlocal_integral_eq,lu,32,13084,0.0030620845176811944,0.002601648463753165,7,,,gmres,1.5677350593734412e-12,CONVERGED_RTOL,1e-12,1e-50,0.9054967500077579,1.078940936951585
0.015625,1,1.0,nonlocal_integral_eq,lu,32,51906,0.0015040331300500017,0.001275535119081419,7,,,gmres,2.2820631842588134e-12,CONVERGED_RTOL,1e-12,1e-50,0.9028867674448924,1.0813629275254488
